Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
CS,2336,5U1,2,3,5,5,7,10,,,,,,,,,,1,"Khan, Ziaullah","Tian, Zijing","Chen, Simin",,,,kkhan,ziaullah khan
CS,2340,0U1,1,5,6,4,3,,2,2,2,1,,1,2,,,0,"Mazidi, Karen J","Mi, Feng",,,,,kjm160430,karen mazidi
CS,2340,0U2,,3,,2,3,1,,,2,,,,1,,,0,"Zhao, Yi","Mi, Feng",,,,,zhao,yi zhao
CS,3305,0U2,,6,5,3,3,,,,,,,,,,,0,"Davis, Chris I","Shams, Shahab",,,,,gxi160230,genya ishigaki
CS,3305,0W1,1,19,4,4,2,,,,,,,,,,,0,"Farage, Timothy P","Tian, Zijing",,,,,mns086000,meghana satpute
CS,3341,0U1,6,1,3,3,1,1,2,1,5,3,,,1,,,0,"Whalen, Tristan G",,,,,,tgw100020,tristan whalen
CS,3345,0U1,2,1,4,3,2,2,3,,1,3,1,1,1,,,1,"Ozbirn, Greg A","Malouf, Brian D",,,,,ozbirn,greg ozbirn
CS,3345,0U2,,,1,1,,1,2,3,,,,,2,,,0,"Zhao, Yi","Malouf, Brian D",,,,,ozbirn,greg ozbirn
CS,3354,0U1,,2,2,1,3,3,1,1,,,,,,,,0,"Paulk, Mark C","Chen, Zizhao",,,,,mxn143230,mehra borazjany
CS,3377,0W1,8,23,11,1,3,,3,2,,,1,,3,,,0,"Dollinger, Scott M","Jiang, Kai",,,,,rkm010300,richard min
CS,4141,6U1,14,3,2,,,,,,,,,,,,,0,"Nguyen, Nhut","Li, Xiao",,,,,nhutnn,nhut nguyen
CS,4141,6U2,4,2,3,1,,,2,,2,,,,,,,0,"Nguyen, Nhut","Chen, Tiantian","Li, Xiao",,,,nhutnn,nhut nguyen
CS,4301,0U1,7,11,7,5,4,,,2,2,,1,,,,,0,"Karami, Gity","Delaram, Zeinab",,,,,gxk180009,gity karami
CS,4336,0U1,3,17,12,6,4,4,1,3,3,2,,,2,,,1,"Ozbirn, Greg A","Wang, Wenting","Nguyen, Son V",,,,ozbirn,greg ozbirn
CS,4337,0U1,11,,2,1,1,1,1,,,,2,,1,,,1,"Karami, Gity","Liu, Ximeng",,,,,cid021000,chris davis
CS,4337,0U2,7,2,5,2,3,1,,2,,,,,1,,,2,"Karami, Gity","Li, Ruosen",,,,,gxk180009,gity karami
CS,4341,0U1,1,13,3,1,3,,3,4,3,2,2,,3,,,0,"Nguyen, Nhut","Chen, Tiantian",,,,,nhutnn,nhut nguyen
CS,4347,0U1,5,4,,1,4,,,2,,,,,1,,,0,"Omer, Jalal S","Liu, Ximeng",,,,,exc067000,ebru cankaya
CS,4347,5U1,,3,5,10,4,2,4,2,1,,,,1,,,0,"Khan, Ziaullah","Li, Shengjie",,,,,kkhan,ziaullah khan
CS,4348,0U1,1,3,,3,3,2,,2,3,,,,3,,,0,"Mittal, Neeraj","Wang, Wenting",,,,,sxb155530,
CS,4348,0U2,,3,4,7,8,2,2,2,,,2,,5,,,2,"Prakash, Ravi","Rathnasuriya, Ravishka S",,,,,axg173030,ravi prakash
CS,4349,0U1,2,6,2,,2,2,,,,,,,1,,,0,"Chitturi, Bhadrachalam","Aggarwal, Alakh",,,,,exc067000,ebru cankaya
CS,4352,0W1,2,15,5,,6,,,2,,,,,,,,0,"Kumar, Pushpa S","Tran, Trung Hieu",,,,,edo042000,erika orrick
CS,4365,0U1,2,2,3,5,1,3,,2,2,1,,,,,,0,"Min, Richard K","Zeng, Yankai",,,,,rkm010300,richard min
CS,4375,0U1,1,2,2,5,3,5,2,1,1,1,,,3,,,1,"Mazidi, Karen J","Shams, Shahab",,,,,kjm160430,karen mazidi
CS,4375,0U2,1,1,1,,2,1,1,,1,,,,3,,,3,"Ng, Yu Chung V","Li, Shengjie",,,,,kjm160430,karen mazidi
CS,4376,0U1,1,1,2,2,2,3,2,2,,1,,,,,,1,"Chung, Lawrence","Alshomar, Ahmad",,,,,mcp130030,mark paulk
CS,4384,0U1,,2,7,2,3,2,1,2,5,,,,,,,0,"Erbatur, Serdar","Deniz, Omer Faruk",,,,,cshields,charles shields
CS,4384,0U2,1,5,2,5,2,3,2,,,,,,1,,,1,"Davis, Chris I","Birashk, Amin",,,,,cid021000,chris davis
CS,4390,0U1,1,4,3,2,2,2,1,2,,,3,,,,,0,"Nguyen, Nhut","Li, Congzhou",,,,,kvl140030,khiem le
CS,4393,0U1,,4,,1,2,1,,1,2,,,,,,,0,"Nguyen, Nhut","Chen, Simin",,,,,nhutnn,nhut nguyen
CS,5343,0U1,,6,4,5,7,2,1,3,,,,,1,,,0,"Gupta, Neeraj K","Deniz, Omer Faruk",,,,,nkg140130,neeraj gupta
CS,6314,5U1,,11,6,10,,,,,,,,,,,,0,"Min, Richard K","Hsu, Chih-Wei",,,,,rkm010300,richard min
CS,6350,0U1,,46,18,4,1,,,,,,,,,,,0,"Nagar, Anurag","Su, Ke","Miao, Miao",,,,axn112530,anurag nagar
CS,6359,0U1,,10,20,11,8,,,,,,,,,,,0,"Chung, Lawrence","Kolluri, Kirthy",,,,,mxn143230,mehra borazjany
CS,6360,5U1,,9,2,4,4,,1,,,,,,,,,0,"Omer, Jalal S","Garg, Priyanshi",,,,,cid021000,chris davis
CS,6363,0U1,,16,3,10,4,3,,,,,,,,,,1,"Chitturi, Bhadrachalam","Aggarwal, Alakh",,,,,chandra,ramaswamy chandrasekaran
CS,6364,0U1,,17,7,3,14,,2,9,,,,,5,,,0,"Schweitzer, Haim","Dasgupta, Sopam","Song, Zihe",,,,haim,haim schweitzer
CS,6364,0U2,,17,6,2,4,2,,2,,,,,1,,,0,"Schweitzer, Haim","Dasgupta, Sopam","Song, Zihe",,,,haim,haim schweitzer
CS,6367,0U1,,13,5,4,1,1,,,,,,,,,,0,"Wong, Weichen E","Li, Dongcheng","Chen, Zizhao",,,,wew021000,weichen wong
CS,6375,5U1,,25,12,4,1,,,,,,,,,,,0,"Nagar, Anurag","Zhang, Qifan",,,,,haim,haim schweitzer
CS,6378,0U1,,8,2,2,6,2,,2,,,,,,,,0,"Prakash, Ravi","Miao, Miao",,,,,nxm020100,neeraj mittal
CS,6385,0W1,,43,15,5,7,,,,,,,,,,,0,"Farago, Andras","Hatfield, Cody R","Garg, Priyanshi",,,,farago,andras farago
ECON,2301,0U1,2,3,3,,1,2,1,,1,,,,1,,,0,"Bing, Yuanchen",,,,,,zxc151030,zhengyang chen
ECON,2301,5U1,3,6,4,5,1,1,,1,,,,,,,,1,"Li, Ji",,,,,,jxl190007,ji li
ECON,2302,5U1,,2,1,2,3,1,1,,,,,,,,,0,"Lu, Yundi",,,,,,zxz110530,zeyu zhang
ECS,3390,051,14,3,1,,,,1,,,,,,,,,0,"Montgomery, Christina",,,,,,lem150330,lindsay moore
ECS,3390,053,2,5,1,1,3,1,1,,,,,,1,,,0,"Johnson, Janet L",,,,,,wac010100,wade crowder
ECS,3390,091,1,5,,2,2,,,1,,,,,1,,,0,"Johnson, Janet L",,,,,,das,deborah scally
ECS,3390,092,,10,,,,,,,1,,,,3,,,0,"Scally, Deborah A",,,,,,olive,laura mohsene
ED,4358,0W1,,2,,,1,,2,2,,,,,2,,1,0,"Root, Alexey",,,,,,aroot,alexey root
EE,3161,051,1,7,2,5,,,,,,,,,,,,0,"Mezenner, Rabah",,,,,,rxm129730,rabah mezenner
EE,3202,0U1,,1,1,1,,6,2,1,4,,,,,,,0,"Kiasaleh, Kamran","Apalak, Merve",,,,,kamran,kamran kiasaleh
EE,3301,0U1,4,2,,1,,,1,,1,,,,1,,,0,"Tacca, Marco","Luo, Ziyang",,,,,kamran,kamran kiasaleh
EE,3311,5U1,,5,3,5,2,4,1,,1,,,,,,,0,"Sechen, Carl","Salimath, Vibhav Kumarswami",,,,,cms057000,carl sechen
EE,4203,0H1,2,5,5,2,2,3,,1,,,,,1,,,0,"Kehtarnavaz, Nasser","Ni, Aoxin","Gogineni, Susmitha",,,,nxk019000,nasser kehtarnavaz
EEMF,6372,5U1,,4,1,1,2,,,2,,,,,,,,1,"Tinker, Mark T",,,,,,mtinker,mark tinker
EEOP,6314,0H1,,10,1,,,,,,,,,,,,,0,"Tamil, Lakshman",,,,,,laxman,lakshman tamil
EERF,7V89,0W1,,4,4,4,,,,,,,,,,,,1,"Henderson, Rashaunda M","Datta, Rajesh K",,,,,rmh072000,rashaunda henderson
ENGR,2300,0W1,3,8,2,2,3,3,1,1,4,,,,,,,1,"Akin, Bilal","Li, Chen","Kumar, Saurabh",,,,bxa123330,bilal akin
ENGR,3300,0U1,4,7,,6,8,2,5,9,1,,1,,2,,,0,"Ali, Mohammed Z","Peng, Genchang","Ahmed, Sabrina",,,,mohammed,ali mohammed
ENGR,3341,0U1,1,1,1,1,,2,,2,2,,,1,,,,2,"Fonseka, John","Helwa, Sherief M",,,,,kjp,john fonseka
ENTP,3301,0U1,5,5,6,,3,1,2,,,,,,,,,0,"Nichols, Paul M",,,,,,sxg172931,steven guengerich
ENTP,4340,0U1,4,10,4,1,3,1,,,1,,,,1,,,1,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich
ENTP,6370,0W1,,11,10,7,13,3,1,2,,,,,,,,0,"Kimzey, Jackie","Deng, Shu",,,,,jxk092000,jackie kimzey
EPPS,2302,0W1,,9,4,,1,1,,1,3,,,,,,,0,"Yoon, Youngseok",,,,,,pva150330,prajakti akarte
EPPS,6317,051,,18,,,,,,,,,,,,,,1,"Qiu, Fang","Lyu, Haitao",,,,,ffqiu,fang qiu
FILM,1303,051,9,,,,1,,,,,,,,1,,,0,"Shafek, Amal S",,,,,,ass106020,amal shafek
FILM,2332,091,1,2,5,1,,1,3,1,,,2,,2,,,2,"Baker, Emily-Rose",,,,,,exb210012,emily baker
FIN,3300,0W1,,19,,,11,,,6,,,7,,6,,,1,"Lynch, Julie","Huang, Zhuowei",,,,,jxl180030,julie lynch
FIN,3320,0U1,1,2,2,1,2,2,,2,,,,,1,,,0,"Harit, Tuhin",,,,,,jxm158130,jeffrey manzi
FIN,3320,0U2,2,4,4,,4,,,2,,,,,,,,1,"Wen, Yaxin",,,,,,jxm158130,jeffrey manzi
FIN,3320,0W1,,8,1,1,11,2,1,9,3,,1,,1,,,3,"Manzi, Jeff",,,,,,jxm158130,jeffrey manzi
FIN,3320,0W2,1,5,1,1,8,1,3,9,2,1,1,,2,,,0,"Manzi, Jeff",,,,,,jxm158130,jeffrey manzi
FIN,3320,0W3,1,9,,2,4,,1,6,1,,,,2,,,1,"Manzi, Jeff",,,,,,sdp093020,
FIN,3360,0W1,,2,10,7,13,4,3,1,,,,,,,,1,"Pedigo, Madison F",,,,,,mfp013000,madison pedigo
FIN,3365,0W1,2,4,1,9,10,4,2,2,,,,,,,,0,"DeCourcy, George A",,,,,,gad075000,george decourcy
FIN,3390,0U1,5,2,5,3,5,4,4,1,1,1,2,2,,,,0,"El-Ashmawi, Amal H",,,,,,ahe013000,amal el ashmawi
FIN,4300,0U1,3,1,1,2,2,1,,,1,,1,,,,,0,"Oyima-Antseleve, Ndackyssa",,,,,,swx170030,
FIN,4310,5U1,,3,,1,1,,,1,2,1,,1,,,,0,"Smith, Jake A",,,,,,jas171530,
FIN,4380,0U1,1,2,7,,2,,3,,,1,,,,,,0,"Ballew, Gregory E",,,,,,geb011100,gregory ballew
FIN,6301,0W1,,21,4,1,8,2,2,9,,,,,6,,,0,"Nishi, Hirofumi","Guo, Shujian",,,,,tday,theodore day
FIN,6301,5U1,,8,1,,3,,,4,,,,,,,,0,"Nishi, Hirofumi","Guo, Shujian",,,,,rbk160130,revansiddha khanapure
FIN,6301,XU1,,12,3,,3,,1,,,,,,,,,0,"El-Ashmawi, Amal H",,,,,,ahe013000,amal el ashmawi
FIN,6307,0W1,,3,2,,4,4,1,1,,,,,,,,1,"Ma, Liping","Kurucak, Abdurrahman",,,,,lxm133730,liping ma
FIN,6308,0W1,,10,3,7,1,1,1,1,,,,,,,,0,"Lewin, Peter","Kelly, Matthew L",,,,,plewin,peter lewin
FIN,6310,5U1,,4,3,3,5,3,,1,,,,,,,,1,"Kaur, Dupinderjeet","Kurucak, Abdurrahman",,,,,dxk110730,dupinderjeet kaur
FIN,6318,5U1,,3,2,3,2,3,,,,,,,1,,,0,"Baranchuk, Nina","Guo, Shujian",,,,,lxm133730,liping ma
FIN,6321,5H1,,4,2,,7,,,7,,,,,,,,0,"Guttery, Randall",,,,,,rxg112530,randall guttery
FIN,6322,0W1,,16,6,11,7,3,,1,,,,,,,,0,"DeCourcy, George A",,,,,,gad075000,george decourcy
FIN,6360,5U1,,4,1,2,1,1,,1,,,,,,,,0,"Kaur, Dupinderjeet","Kurucak, Abdurrahman",,,,,rxg170730,rajesh ghai
FTEC,6312,FH1,,12,6,2,3,,,,,,,,,,,0,"Scott, James A",,,,,,jas076100,james scott
FTEC,6334,FH1,,19,,,,,,,,,,,,,,0,"Zemoodeh, Amir",,,,,,axz120930,amir zemoodeh
GEOS,1303,051,2,12,5,,,1,,,,,,,,,,0,"Griffin, William R","Wang, Ning",,,,,griffin,william griffin
GEOS,3300,0S1,4,1,3,,,2,,,,,,,,,,0,"Pirouz, Mortaza","Moulding, Ann E",,,,,jwg102020,john geissman
GEOS,4300,0S1,1,,,4,3,2,3,1,,1,,,,,,0,"Pirouz, Mortaza","Moulding, Ann E",,,,,mxp180004,mortaza pirouz
GOVT,2305,0U1,3,2,2,,2,,,,1,,,,1,,,1,"Sanchez De La Rosa, Andres Ricardo",,,,,,jgc130130,
GOVT,2305,0U2,1,6,2,4,5,2,2,3,,,1,,,,,0,"Widner, Katie",,,,,,rjl140330,ryan lux
GOVT,2306,0U1,4,6,1,6,,1,1,1,1,,,,,,,0,"Noe, Ricardo",,,,,,ckc150230,ricardo noe
GOVT,2306,0U2,,11,7,5,7,6,2,3,2,,,,1,,,2,"Eaton, John M",,,,,,cxg172030,carlos gutierrez mannix
HDCD,6351,5W1,,11,1,,1,1,,,,,,,,,,0,"Ewing, Donna M",,,,,,dme061000,donna ewing
HDCD,6370,0H1,,15,,,1,1,,,,,,,,,,0,"Ewing, Donna M",,,,,,dme061000,donna ewing
HIST,1302,0W1,1,6,13,23,19,31,11,12,7,6,2,3,10,,,2,"Schulze, Jeffrey","Ivey, Tinamarie","Li, Ang",,,,sdk200001,shulamith kang
HIST,3328,0W1,,,3,6,2,,1,,,,,,1,,,1,"Dennis, Patrick W",,,,,,pdennis,patrick dennis
HIST,4344,0W1,,3,9,5,3,4,2,,,,,,1,,,0,"Pfister, Debra H",,,,,,dhpf,debra pfister
HIST,4378,0W1,12,11,,1,2,,1,,,,,,3,,,0,"Pettengill, Ryan S",,,,,,rsp120030,ryan pettengill
HIST,6325,0W1,,3,5,,,2,,,,,,,,,,0,"Schulze, Jeffrey",,,,,,jxs072200,jeffrey schulze
HIST,6340,551,,6,3,1,,,,,,,,,,,,0,"Wilson, Michael",,,,,,mwilson,michael wilson
HLTH,1301,0W1,,4,6,3,2,3,4,,,,,,,,,0,"Baetge, Claire",,,,,,cxb170330,claire baetge
HLTH,3300,0U1,,2,6,6,3,5,4,7,8,1,4,,,,,3,"Byrnes, Kathleen A",,,,,,kab019000,kathleen byrnes
HMGT,6320,CH1,,22,3,4,,,,,,,,,,,,0,"Jacob, Stephen",,,,,,,stephen jacob
HMGT,6324,0W1,,11,,1,3,,,,,,,,,,,0,"Ziegler, Laurie","Garg, Suyash",,,,,ziegler,laurie ziegler
HMGT,6324,0W2,,7,,,2,,,,,,,,,,,1,"Ziegler, Laurie","Garg, Suyash",,,,,ziegler,laurie ziegler
HMGT,6331,5U1,1,20,9,4,3,1,,,,,,,,,,1,"Malaise, Michael",,,,,,mhm130430,michael malaise
HMGT,6332,5U1,,10,3,9,5,5,4,4,,,,,7,,,0,"Ramanathan, Kannan",,,,,,kxr087000,kannan ramanathan
HMGT,6401,AS1,,42,2,,,,,,,,,,,,,1,"Taylor, Donald E","Kaiser, Robert C",,,,,det190000,donald taylor
HMGT,6408,AS1,,45,1,,,,,,,,,,,,,0,"Taylor, Donald E","Convery, Paul",,,,,det190000,donald taylor
IMS,3310,0U1,,3,2,5,3,,1,,,,,,,,,0,"Wang, Jiyu",,,,,,xxl133730,
IMS,3310,5U1,,9,10,6,9,3,1,1,,,,,1,,,2,"Liu, Yu",,,,,,txh093000,tom henderson
IMS,4335,0U1,6,4,2,2,,2,,,,,,,1,,,0,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich
IMS,4V94,091,,11,1,1,,,,,,,,,,,,0,"Zydorek, Hubert",,,,,,hxz120930,hubert zydorek
IMS,6304,AW1,,11,,,8,,,2,,,,,,,,3,"Petrik, Peter",,,,,,,peter petrik
IMS,6314,0W1,,5,18,3,,,,,,,,,,,,0,"Dalgic, Tevfik",,,,,,tdalgic,tevfik dalgic
IMS,6316,GW1,,6,8,4,6,2,,,,,,,,,,0,"Peinhardt, Clint W",,,,,,cwp052000,clint peinhardt
IMS,6354,GW1,,6,10,2,2,3,1,,,,,,,,,1,"Albrecht, Maria",,,,,,mxa180037,maria albrecht
IMS,6360,0W1,,30,22,14,4,5,1,1,,,,,1,,,0,"Olsztynska, Agnieszka","Deng, Shu",,,,,kxs014600,kurt siklar
IMS,6365,0W1,,14,11,10,6,5,3,,,,,,,,,0,"Woldu, Habte G","Alborz, Ethan",,,,,wolduh,habte woldu
ISIS,3335,0W1,,4,10,6,5,3,1,1,,1,,,,,,0,"Rosa, Jonathan",,,,,,jxr172530,jonathan rosa
ISIS,4304,0H1,,4,4,3,1,1,1,,,,,,,,,0,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak
ISNS,2359,0W1,62,14,7,5,1,2,2,2,1,,2,1,4,,,0,"Pujana, Ignacio","Sink, Katharine O",,,,,pxs077000,prabin shilpakar
ISNS,2367,0W1,14,22,7,1,4,3,,1,,1,,,4,,,0,"Pujana, Ignacio","Akatakpo, Solomon O",,,,,pujana,ignacio pujana
ISNS,2367,0W2,3,16,7,4,3,,1,2,2,,,,1,,,0,"Pujana, Ignacio","Akatakpo, Solomon O",,,,,pujana,ignacio pujana
ITSS,3300,5U1,,27,13,5,7,1,2,3,1,,,,,,,0,"Owens, Sean M",,,,,,jxs124931,
ITSS,3311,5U1,5,5,2,3,4,3,2,1,2,,,,,,,0,"Ozdemir, Dicle Yagmur",,,,,,yxk130930,yeongin kim
ITSS,3312,5U1,,3,7,3,3,6,1,2,,,,,2,,,8,"Short, Kevin P","Harikrishna Reddy, Chillakuru",,,,,mxy131030,
ITSS,3390,5U1,2,5,4,3,1,,,,,,,,,,,1,"Neal, Angela A",,,,,,vxa081000,vivek arora
ITSS,4300,5U1,3,4,2,3,5,5,1,1,1,,1,,2,,,5,"Perry, Christopher M","Srivastava, Bhupesh K",,,,,dmo130130,dawn owens
ITSS,4330,5U1,1,3,3,9,7,5,5,2,4,,,2,,,,1,"Khan, Taimur A","Harikrishna Reddy, Chillakuru",,,,,nxi110630,naser islam
ITSS,4351,5U1,,7,11,8,6,3,1,1,1,,,,,,,1,"Pandian, Thiru","Luo, Ning",,,,,gxs150130,gaurav shekhar
ITSS,4352,5U1,2,8,15,5,1,1,1,1,3,,,,1,,,1,"Neal, Angela A","Kengalapura Shivamurthy, Sourabha",,,,,aan052000,angela neal
ITSS,4360,5U1,,4,2,4,3,1,1,,,1,,,1,,,1,"Thirumalai, Nambi","Tang, Ping",,,,,ndt180001,nambi thirumalai
ITSS,4370,5U1,,3,6,2,9,2,2,2,,,1,,1,,,0,"Young, John G",,,,,,jgy190000,john young
LIT,1301,0W1,9,3,1,3,2,,,,,,,,,,,0,"Ingrao, Peter J",,,,,,jingrao,peter ingrao
LIT,2331,0W2,,10,,1,,,,,,,,,1,,,0,"Arrabai, Mustafa M",,,,,,bxm180023,bahareh momeniabdolabadi
LIT,3337,0W1,1,3,2,3,,1,,,,,,,,,,0,"Riley, Kristin N",,,,,,knr091000,kristin riley
MAS,6102,0U1,,,,,,,,,,,,,2,50,,1,"Cirilo, Jason M",,,,,,jmc180002,jason cirilo
MATH,1314,0S1,,1,1,2,,3,,1,,2,,,,,,0,"Alvarado, Iris",,,,,,ila180000,iris alvarado
MATH,1314,0U1,1,2,,,,2,,1,2,,,,5,,,0,"Aman, Kelly","Murad, Mohammad Hassan",,,,,mln018200,mylinh nguyen
MATH,1325,0U1,,,,4,,,,2,3,,2,,4,,,0,"Guo, Huizhen","Nuwagira, Brighton",,,,,hxg190020,huizhen guo
MATH,1325,5U1,,,1,,2,,1,2,1,1,1,,8,,,4,"Liu, Runzhou","Ghanem, Ziad G",,,,,cxl109120,changsong li
MATH,1326,0U2,3,3,1,2,1,1,,3,,,1,,4,,,1,"Duruoha, Adannah","Crane, Casey M",,,,,bcm052000,brady mccary
MATH,2312,0U1,,2,1,,1,,1,1,4,,,,4,,,1,"Martynova, Irina","Chen, Huiyi",,,,,kxa143530,kelly aman
MATH,2413,0U1,,1,1,1,1,5,1,4,4,,,2,2,,,1,"Nguyen, Mylinh T","Gallo, Erika S","Cao, Jianpeng","Zhao, Kun",,,mma110020,mohammad akbar
MATH,2413,0U2,1,1,1,,1,3,2,3,2,,,2,5,,,1,"Patel, Jigarkumar S","Gallo, Erika S","Cao, Jianpeng","Zhao, Kun",,,ila180000,iris alvarado
MATH,2414,0U1,2,,3,1,,2,1,4,1,2,,1,13,,,3,"Ahsan, Mohammad K",,,,,,kxa143530,kelly aman
MATH,2414,0U2,3,,5,2,3,2,1,,1,3,2,,8,,,2,"Ahsan, Mohammad K",,,,,,kxa143530,kelly aman
MATH,2415,0U1,2,1,1,,2,,2,4,2,,,1,1,,,0,"Dahal, Rabin","Chen, Ying",,,,,rxd153030,rabin dahal
MATH,2415,0U2,4,3,,2,5,2,,1,1,1,,,2,,,2,"Dahal, Rabin","Zagvozdkin, Andrei",,,,,mma110020,mohammad akbar
MATH,2417,0U1,6,1,2,3,2,,4,1,1,1,1,1,2,,,2,"Sultana, Nasrin","Jahan, Mahmuda",,,,,mka120030,mohammad ahsan
MATH,2418,0U1,3,2,2,1,1,1,3,5,1,,1,1,3,,,4,"Paudel, Ajaya B",,,,,,rxd153030,rabin dahal
MATH,2418,0U2,6,1,2,1,3,1,2,3,2,3,1,,2,,,0,"Adabrah, Anani Komla",,,,,,rxd153030,rabin dahal
MATH,2419,0U1,1,3,1,2,4,3,2,2,2,,,,1,,,0,"Eydelzon, Anatoly","Palit, Priyojit","Li, Jiacheng",,,,axe031000,anatoly eydelzon
MATH,2420,0U1,2,3,1,1,2,1,1,1,1,,1,1,1,,,0,"Dabkowski, Mieczyslaw K",,,,,,vish,viswanath ramakrishna
MATH,3351,0U1,2,2,,2,2,1,4,1,2,,,,,,,0,"Ramakrishna, Viswanath","Seiffert, Lucas",,,,,axe031000,anatoly eydelzon
MATH,4301,0U1,2,1,1,2,1,2,2,3,2,,,,1,,,1,"Dabkowski, Mieczyslaw K","Ahmed, Faisal",,,,,mkd034000,mieczyslaw dabkowski
MECH,2330,051,,2,1,1,,,,3,1,,,1,,,,2,"Thamban, P.L.Stephan",,,,,,stephan,p l stephan thamban
MECH,3105,1W1,6,3,3,2,1,1,,2,,,,,,,,0,"Rios, Oziel",,,,,,oxr106020,oziel rios
MECH,3150,1W1,1,5,4,1,2,1,,,,,,,,,,0,"Park, Wooram",,,,,,wxp103020,wooram park
MECH,3305,0W1,4,1,2,6,3,2,2,1,,,,,1,,,1,"Rios, Oziel",,,,,,dzf091000,dani fadda
MECH,3320,0S1,2,2,7,2,2,2,3,3,4,,1,,,,,1,"You, Seung M",,,,,,smy130030,seung you
MECH,3370,0U1,1,3,3,2,4,1,,1,,,,,1,,,0,"Fadda, Dani Z",,,,,,dzf091000,dani fadda
MECH,3380,0W1,2,2,1,1,,2,1,5,1,1,3,,2,,,1,"Malik, Arif",,,,,,axm154531,arif malik
MECH,4340,0W1,,1,3,4,3,1,1,2,,,,,,,,0,"Park, Wooram",,,,,,wxp103020,wooram park
MECH,4381,0U1,,7,20,16,27,6,2,3,,,,,,,,0,"Hart, Robert A",,,,,,rxh124630,robert hart
MECH,4V95,0W1,,4,2,,7,,,9,1,,2,,3,,,1,"Summers, Joshua",,,,,,jxz156730,jie zhang
MECO,6303,0W1,,13,11,11,3,5,3,8,,,,,,,,0,"Lewin, Peter","Kelly, Matthew L",,,,,plewin,peter lewin
MECO,6303,AW1,,15,1,,,1,,,,,,,,,,1,"Kiser, Stephen L",,,,,,slk012100,stephen kiser
MIS,6308,0W1,,27,9,13,4,2,,1,,,,,,,,0,"Raghunathan, Srinivasan","Joseph, Shailender",,,,,sraghu,srinivasan raghunathan
MIS,6308,0W2,,9,12,9,3,1,,1,,,,,,,,2,"Raghunathan, Srinivasan","Joseph, Shailender",,,,,sraghu,srinivasan raghunathan
MIS,6313,5U1,,6,12,9,9,6,3,,,,,,,,,1,"Shroff, Tejas N","Zhu, Yan",,,,,tff170130,tony fuller
MIS,6313,CW1,,3,3,7,,,,,,,,,,,,0,"Rhoades, Mike",,,,,,,mike rhoades
MIS,6313,GW1,,6,1,6,3,,1,1,,,,,,,,0,"Wiant, Russell B",,,,,,,russell wiant
MIS,6313,GW2,,11,5,2,3,,,1,,,,,,,,0,"Wiant, Russell B",,,,,,,russell wiant
MIS,6319,0W1,,18,,,4,,,,,,,,,,,0,"Thompson, Luell O",,,,,,lot013000,luell thompson
MIS,6324,0W1,,4,1,4,3,2,1,,,,,,,,,0,"Menon, Syam","Luo, Ning",,,,,sxm021300,syam menon
MIS,6326,0W1,,8,5,5,8,,,,,,,,,,,0,"Ryu, Young","Zhu, Wangsheng",,,,,ryoung,young ryu
MIS,6330,5U1,,4,4,5,1,,,1,,,,,,,,0,"Shroff, Tejas N","Zhu, Yan",,,,,nxh141030,nate howe
MIS,6346,5U1,,13,2,4,3,,,,,,,,,,,0,"El-Youssef, Rami","Tang, Ping",,,,,jxp180019,jerry perez
MIS,6363,0U1,,16,14,3,3,1,1,,,,,,1,,,0,"Calisir, Engin","Xie, Si",,,,,exc030100,engin calisir
MIS,6363,5U1,,17,10,3,1,1,,,,,,,,,,0,"Calisir, Engin","Xie, Si",,,,,exc030100,engin calisir
MIS,6380,0U1,,13,1,10,1,1,1,2,,,,,,,,0,"Islam, Naser","Srivastava, Bhupesh K",,,,,nxi110630,naser islam
MIS,6380,5D1,,18,4,13,5,1,,3,,,,,,,,0,"Islam, Naser","Srivastava, Bhupesh K",,,,,nxi110630,naser islam
MIS,6382,5U1,,10,12,12,6,4,2,2,,,,,,,,0,"Neouchi, Rabih","Xie, Si",,,,,rxn200012,rabih neouchi
MKT,3300,0U1,6,3,2,6,2,1,1,,,,,,,,,2,"Jameei Osgouei, Ata",,,,,,jmg171130,jerome gafford
MKT,3300,0W1,,7,11,12,8,7,2,1,,1,1,,,,,0,"Pahwa, Parneet","Kim, Seung Mok",,,,,pxp030100,parneet pahwa
MKT,3330,0U1,1,5,2,1,3,3,,,,,,,2,,,1,"Amirpour, Semiramis","Rai, Rahul",,,,,sxa130731,semiramis amirpour
MKT,4330,0W1,1,8,7,5,3,2,2,,2,1,,2,2,,,0,"Edsel, Alexander D",,,,,,ade012000,alexander edsel
MKT,4334,5U1,,6,2,1,10,,1,,,,,,,,,0,"Pacyna, Sandra",,,,,,sxp158130,sandra pacyna
MKT,4360,5U1,5,8,10,14,4,1,,,,,,,,,,0,"Farquharson, Neil",,,,,,nxf051000,neil farquharson
MKT,4395,5U1,2,11,,,,,,,,,,,,,,0,"Farquharson, Neil",,,,,,nxf051000,neil farquharson
