Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ATCM,3337,0U1,5,2,7,,1,,,,,,1,,2,,,0,"Wood, Harold G",,,,,,hgw021000,harold wood
ATCM,3338,051,7,4,4,1,4,3,2,,,,1,,1,,,1,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho
ATCM,3350,0W1,7,8,6,2,1,1,,1,,,,1,3,,,0,"Hewitt, Sharon",,,,,,sxh090220,sharon hewitt
ATCM,3367,0U1,4,4,3,,3,,,,,,,1,4,,,0,"Lewis, Timothy M",,,,,,awc051000,adam chandler
ATCM,3388,0U1,13,3,5,1,2,2,,,,1,,1,1,,,0,"Fraley, James M",,,,,,lxb032000,james fraley
ATCM,4319,0U1,2,6,,,,,1,,1,,,,,,,1,"Fechter, Todd A","McComber, Sean",,,,,taf051000,todd fechter
ATCM,4320,591,5,5,8,2,,1,,,1,,,,1,,,0,"Rheams, David C",,,,,,dcr093020,david rheams
ATCM,4330,051,5,1,2,,,2,,,1,,,,,,,0,"Nielsen, Christina R",,,,,,crn022000,christina nielsen
ATCM,4350,0W1,8,4,2,1,1,1,,1,1,,,,3,,,0,"Hewitt, Sharon",,,,,,sxh090220,sharon hewitt
ATCM,4364,051,25,2,,,3,,,,,,,,,,,0,"Trosper, Elizabeth M",,,,,,emt130130,elizabeth trosper
ATCM,4384,551,12,4,5,3,2,,,1,1,,,,2,,,0,"Rheams, David C",,,,,,dcr093020,david rheams
AUD,6216,0U1,,11,2,,,,,,,,,,,,,0,"Cokely, Carol G","Woodford, Allison S",,,,,cgc016200,
AUD,6352,5U1,,24,,,,,,,,,,,,,,0,"Clark, Jackie L","Zang, Andie L",,,,,axg165431,
AUD,7325,0U1,,8,3,,1,,,1,,,,,,,,0,"Thibodeau, Linda K","Warner-Czyz, Andrea D","Jansen, Conner L","Vu, Katrina D",,,thib,linda thibodeau
BA,1320,5U1,,6,3,1,3,,,1,,,,,,,,0,"Lewin, Peter","Kelly, Matthew L",,,,,slk012100,stephen kiser
BCOM,3300,0U1,,1,5,1,2,7,4,2,4,1,,2,2,,,0,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry
BCOM,3300,5U1,,,5,3,4,1,2,,3,,3,,3,,,0,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry
BCOM,4300,091,,,1,3,4,5,2,3,3,3,,1,1,,,1,"Stewart, Julie",,,,,,jxs210043,julie stewart
BCOM,4300,0U1,,,2,3,5,5,2,1,1,1,,1,,,,0,"Said, Stacey",,,,,,kxl164330,kathryn lookadoo
BCOM,4300,0U2,,2,7,1,1,2,2,,,,1,,1,,,0,"Walton, Michaella",,,,,,meg012400,margaret smallwood
BCOM,4300,0U3,,3,4,2,4,1,,,,,1,,2,,,0,"Walton, Michaella",,,,,,meg012400,margaret smallwood
BCOM,4300,0U4,,1,3,3,,6,1,2,2,,,,1,,,0,"Harrison, Megan K",,,,,,kxl164330,kathryn lookadoo
BCOM,4300,0U5,,2,4,3,6,1,1,,3,,,,,,,1,"Blockley, Caylin",,,,,,jmw077000,caylin blockley
BCOM,4300,5E1,,2,1,2,1,1,1,1,1,,,,,,,0,"Moore, Sarah E",,,,,,jmw077000,sarah moore
BCOM,4300,5U1,,6,6,4,3,9,3,3,1,,,3,1,,,1,"Moore, Sarah E",,,,,,kxt200010,katrina tamez
BIOL,2111,0U1,6,1,4,2,2,4,2,,,,,,,,,0,"Sarcar, Subha N","Kwende, Sharon A","Xu, Linyi",,,,candas,mehmet candas
BIOL,2112,0U1,3,3,2,1,7,1,1,3,2,1,1,1,6,,,4,"Wu, Zhuoru","Tiwari, Suman","Alemi, Parinazsadat","Chase, Rebecca L",,,candas,mehmet candas
BIOL,2112,0U2,10,1,2,3,4,2,1,,,1,1,2,7,,,3,"Wu, Zhuoru","Tiwari, Suman","Chase, Rebecca L","Alemi, Parinazsadat",,,candas,mehmet candas
BIOL,2281,3U1,1,2,4,1,3,3,1,1,1,,,,1,,,1,"Lin, Wen J","Xia, Jing","Easterwood, Shayne","Basu, Ujjaini","Do, Hung P","Mittal, Shubham",wenju,wen ju lin
BIOL,2281,3U3,,3,4,1,1,1,,2,,,1,,1,,,1,"Lin, Wen J","Xia, Jing","Easterwood, Shayne","Basu, Ujjaini","Do, Hung P","Mittal, Shubham",wenju,wen ju lin
BIOL,2281,3U4,1,4,4,3,3,1,1,1,,,,1,,,,0,"Lin, Wen J","Ratevosyan, Richard","Mittal, Shubham","Do, Hung P","Basu, Ujjaini","Easterwood, Shayne",wenju,wen ju lin
BIOL,2311,0U1,6,1,4,2,2,4,2,,,,,,,,,0,"Sarcar, Subha N","Xu, Linyi","Kwende, Sharon A",,,,candas,mehmet candas
BIOL,2312,0U1,13,4,4,4,11,3,2,3,2,2,2,3,13,,,7,"Wu, Zhuoru","Tiwari, Suman","Chase, Rebecca L","Alemi, Parinazsadat",,,candas,mehmet candas
BIOL,3101,0U1,12,5,8,5,2,5,,1,,,,,,,,2,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa",,,,,ixb053000,irina borovkov
BIOL,3101,0U2,5,13,6,1,3,2,2,2,1,2,2,,,,,1,"Srikanth, Uma","Salaudeen, Ibrahim O",,,,,ixb053000,irina borovkov
BIOL,3101,0U3,3,6,1,2,2,5,1,3,2,1,1,,,,,0,"Srikanth, Uma","Salamat, Narges",,,,,ukrish,uma srikanth
BIOL,3101,0U4,5,2,1,1,1,4,1,1,,4,,,1,,,0,"Srikanth, Uma","Bach, Thao Nguyen",,,,,ukrish,uma srikanth
BIOL,3101,0U5,5,10,3,1,4,5,3,2,,2,,,,,,0,"Srikanth, Uma","Akter, Zakia",,,,,ukrish,uma srikanth
BIOL,3101,0U6,,5,1,,1,4,2,,1,,,,,,,1,"Srikanth, Uma","Zaheen Khan, Fabiha",,,,,ukrish,uma srikanth
